"id","UniqueID","Gene.Name","Protein.ID","GeneType"
354,"ADCY7","ADCY7","","protein_coding"
355,"ADCY8","ADCY8","","protein_coding"
356,"ADCY9","ADCY9","","protein_coding"
357,"ADCYAP1","ADCYAP1","","protein_coding"
358,"ADCYAP1R1","ADCYAP1R1","","protein_coding"
359,"ADD1","ADD1","","protein_coding"
360,"ADD2","ADD2","","protein_coding"
361,"ADD3","ADD3","","protein_coding"
362,"ADD3-AS1","ADD3-AS1","","protein_coding"
363,"ADGB","ADGB","","protein_coding"
364,"ADGRA1","ADGRA1","","protein_coding"
365,"ADGRA1-AS1","ADGRA1-AS1","","protein_coding"
366,"ADGRA2","ADGRA2","","protein_coding"
367,"ADGRA3","ADGRA3","","protein_coding"
368,"ADGRB1","ADGRB1","","protein_coding"
369,"ADGRB2","ADGRB2","","protein_coding"
370,"ADGRB3","ADGRB3","","protein_coding"
371,"ADGRD1","ADGRD1","","protein_coding"
372,"ADGRD1-AS1","ADGRD1-AS1","","protein_coding"
373,"ADGRE1","ADGRE1","","protein_coding"
374,"ADGRE2","ADGRE2","","protein_coding"
375,"ADGRE3","ADGRE3","","protein_coding"
376,"ADGRE4P","ADGRE4P","","protein_coding"
377,"ADGRE5","ADGRE5","","protein_coding"
378,"ADGRF1","ADGRF1","","protein_coding"
379,"ADGRF2","ADGRF2","","protein_coding"
380,"ADGRF3","ADGRF3","","protein_coding"
381,"ADGRF4","ADGRF4","","protein_coding"
382,"ADGRF5","ADGRF5","","protein_coding"
383,"ADGRG1","ADGRG1","","protein_coding"
384,"ADGRG2","ADGRG2","","protein_coding"
385,"ADGRG3","ADGRG3","","protein_coding"
386,"ADGRG4","ADGRG4","","protein_coding"
387,"ADGRG5","ADGRG5","","protein_coding"
388,"ADGRG6","ADGRG6","","protein_coding"
389,"ADGRG7","ADGRG7","","protein_coding"
390,"ADGRL1","ADGRL1","","protein_coding"
391,"ADGRL2","ADGRL2","","protein_coding"
392,"ADGRL3","ADGRL3","","protein_coding"
393,"ADGRL3-AS1","ADGRL3-AS1","","protein_coding"
394,"ADGRL4","ADGRL4","","protein_coding"
395,"ADGRV1","ADGRV1","","protein_coding"
396,"ADH1A","ADH1A","","protein_coding"
397,"ADH1B","ADH1B","","protein_coding"
398,"ADH1C","ADH1C","","protein_coding"
399,"ADH4","ADH4","","protein_coding"
400,"ADH5","ADH5","","protein_coding"
401,"ADH6","ADH6","","protein_coding"
402,"ADH7","ADH7","","protein_coding"
403,"ADHFE1","ADHFE1","","protein_coding"
404,"ADI1","ADI1","","protein_coding"
405,"ADIG","ADIG","","protein_coding"
406,"ADIPOQ","ADIPOQ","","protein_coding"
407,"ADIPOQ-AS1","ADIPOQ-AS1","","protein_coding"
408,"ADIPOR1","ADIPOR1","","protein_coding"
409,"ADIPOR2","ADIPOR2","","protein_coding"
410,"ADIRF","ADIRF","","protein_coding"
411,"ADK","ADK","","protein_coding"
412,"ADM","ADM","","protein_coding"
413,"ADM2","ADM2","","protein_coding"
414,"ADM5","ADM5","","protein_coding"
415,"ADNP","ADNP","","protein_coding"
416,"ADNP-AS1","ADNP-AS1","","protein_coding"
417,"ADNP2","ADNP2","","protein_coding"
418,"ADO","ADO","","protein_coding"
419,"ADORA1","ADORA1","","protein_coding"
420,"ADORA2A","ADORA2A","","protein_coding"
421,"ADORA2A-AS1","ADORA2A-AS1","","protein_coding"
422,"ADORA2B","ADORA2B","","protein_coding"
423,"ADORA3","ADORA3","","protein_coding"
424,"ADPGK","ADPGK","","protein_coding"
425,"ADPGK-AS1","ADPGK-AS1","","protein_coding"
426,"ADPRH","ADPRH","","protein_coding"
427,"ADPRHL1","ADPRHL1","","protein_coding"
428,"ADPRHL2","ADPRHL2","","protein_coding"
429,"ADPRM","ADPRM","","protein_coding"
430,"ADRA1A","ADRA1A","","protein_coding"
431,"ADRA1B","ADRA1B","","protein_coding"
432,"ADRA1D","ADRA1D","","protein_coding"
433,"ADRA2A","ADRA2A","","protein_coding"
434,"ADRA2B","ADRA2B","","protein_coding"
435,"ADRA2C","ADRA2C","","protein_coding"
436,"ADRB1","ADRB1","","protein_coding"
437,"ADRB2","ADRB2","","protein_coding"
438,"ADRB3","ADRB3","","protein_coding"
439,"ADRM1","ADRM1","","protein_coding"
440,"ADSL","ADSL","","protein_coding"
441,"ADSS","ADSS","","protein_coding"
442,"ADSSL1","ADSSL1","","protein_coding"
443,"ADTRP","ADTRP","","protein_coding"
444,"AEBP1","AEBP1","","protein_coding"
445,"AEBP2","AEBP2","","protein_coding"
446,"AEN","AEN","","protein_coding"
447,"AES","AES","","protein_coding"
448,"AFAP1","AFAP1","","protein_coding"
449,"AFAP1-AS1","AFAP1-AS1","","protein_coding"
450,"AFAP1L1","AFAP1L1","","protein_coding"
451,"AFAP1L2","AFAP1L2","","protein_coding"
452,"AFDN","AFDN","","protein_coding"
453,"AFDN-DT","AFDN-DT","","protein_coding"
454,"AFF1","AFF1","","protein_coding"
455,"AFF1-AS1","AFF1-AS1","","protein_coding"
456,"AFF2","AFF2","","protein_coding"
457,"AFF3","AFF3","","protein_coding"
458,"AFF4","AFF4","","protein_coding"
459,"AFG1L","AFG1L","","protein_coding"
460,"AFG3L1P","AFG3L1P","","protein_coding"
461,"AFG3L2","AFG3L2","","protein_coding"
462,"AFM","AFM","","protein_coding"
463,"AFMID","AFMID","","protein_coding"
464,"AFP","AFP","","protein_coding"
465,"AFTPH","AFTPH","","protein_coding"
466,"AGA","AGA","","protein_coding"
467,"AGAP1","AGAP1","","protein_coding"
468,"AGAP1-IT1","AGAP1-IT1","","protein_coding"
469,"AGAP11","AGAP11","","protein_coding"
470,"AGAP12P","AGAP12P","","protein_coding"
471,"AGAP2","AGAP2","","protein_coding"
472,"AGAP2-AS1","AGAP2-AS1","","protein_coding"
473,"AGAP3","AGAP3","","protein_coding"
474,"AGAP4","AGAP4","","protein_coding"
475,"AGAP5","AGAP5","","protein_coding"
476,"AGAP6","AGAP6","","protein_coding"
477,"AGAP7P","AGAP7P","","protein_coding"
478,"AGAP9","AGAP9","","protein_coding"
479,"AGBL1","AGBL1","","protein_coding"
480,"AGBL1-AS1","AGBL1-AS1","","protein_coding"
481,"AGBL2","AGBL2","","protein_coding"
482,"AGBL3","AGBL3","","protein_coding"
483,"AGBL4","AGBL4","","protein_coding"
484,"AGBL4-IT1","AGBL4-IT1","","protein_coding"
485,"AGBL5","AGBL5","","protein_coding"
486,"AGBL5-AS1","AGBL5-AS1","","protein_coding"
487,"AGER","AGER","","protein_coding"
488,"AGFG1","AGFG1","","protein_coding"
489,"AGFG2","AGFG2","","protein_coding"
490,"AGGF1","AGGF1","","protein_coding"
491,"AGK","AGK","","protein_coding"
492,"AGL","AGL","","protein_coding"
493,"AGMAT","AGMAT","","protein_coding"
494,"AGMO","AGMO","","protein_coding"
495,"AGO1","AGO1","","protein_coding"
496,"AGO2","AGO2","","protein_coding"
497,"AGO3","AGO3","","protein_coding"
498,"AGO4","AGO4","","protein_coding"
499,"AGPAT1","AGPAT1","","protein_coding"
500,"AGPAT2","AGPAT2","","protein_coding"
501,"AGPAT3","AGPAT3","","protein_coding"
502,"AGPAT4","AGPAT4","","protein_coding"
503,"AGPAT4-IT1","AGPAT4-IT1","","protein_coding"
504,"AGPAT5","AGPAT5","","protein_coding"
505,"AGPS","AGPS","","protein_coding"
506,"AGR2","AGR2","","protein_coding"
507,"AGR3","AGR3","","protein_coding"
508,"AGRN","AGRN","","protein_coding"
509,"AGRP","AGRP","","protein_coding"
510,"AGT","AGT","","protein_coding"
511,"AGTPBP1","AGTPBP1","","protein_coding"
512,"AGTR1","AGTR1","","protein_coding"
513,"AGTR2","AGTR2","","protein_coding"
514,"AGTRAP","AGTRAP","","protein_coding"
515,"AGXT","AGXT","","protein_coding"
516,"AGXT2","AGXT2","","protein_coding"
517,"AHCTF1","AHCTF1","","protein_coding"
518,"AHCTF1P1","AHCTF1P1","","protein_coding"
519,"AHCY","AHCY","","protein_coding"
520,"AHCYL1","AHCYL1","","protein_coding"
521,"AHCYL2","AHCYL2","","protein_coding"
522,"AHDC1","AHDC1","","protein_coding"
523,"AHI1","AHI1","","protein_coding"
524,"AHNAK","AHNAK","","protein_coding"
525,"AHNAK2","AHNAK2","","protein_coding"
526,"AHR","AHR","","protein_coding"
527,"AHRR","AHRR","","protein_coding"
528,"AHSA1","AHSA1","","protein_coding"
529,"AHSA2","AHSA2","","protein_coding"
530,"AHSG","AHSG","","protein_coding"
531,"AHSP","AHSP","","protein_coding"
532,"AICDA","AICDA","","protein_coding"
533,"AIDA","AIDA","","protein_coding"
534,"AIF1","AIF1","","protein_coding"
535,"AIF1L","AIF1L","","protein_coding"
536,"AIFM1","AIFM1","","protein_coding"
537,"AIFM2","AIFM2","","protein_coding"
538,"AIFM3","AIFM3","","protein_coding"
539,"AIG1","AIG1","","protein_coding"
540,"AIM2","AIM2","","protein_coding"
541,"AIMP1","AIMP1","","protein_coding"
542,"AIMP2","AIMP2","","protein_coding"
543,"AIP","AIP","","protein_coding"
544,"AIPL1","AIPL1","","protein_coding"
545,"AIRE","AIRE","","protein_coding"
546,"AIRN","AIRN","","protein_coding"
547,"AJAP1","AJAP1","","protein_coding"
548,"AJM1","AJM1","","protein_coding"
549,"AJUBA","AJUBA","","protein_coding"
550,"AK1","AK1","","protein_coding"
551,"AK2","AK2","","protein_coding"
552,"AK3","AK3","","protein_coding"
553,"AK4","AK4","","protein_coding"
554,"AK5","AK5","","protein_coding"
555,"AK6","AK6","","protein_coding"
556,"AK7","AK7","","protein_coding"
557,"AK8","AK8","","protein_coding"
558,"AK9","AK9","","protein_coding"
559,"AKAIN1","AKAIN1","","protein_coding"
560,"AKAP1","AKAP1","","protein_coding"
561,"AKAP10","AKAP10","","protein_coding"
562,"AKAP11","AKAP11","","protein_coding"
563,"AKAP12","AKAP12","","protein_coding"
564,"AKAP13","AKAP13","","protein_coding"
565,"AKAP14","AKAP14","","protein_coding"
566,"AKAP17A","AKAP17A","","protein_coding"
567,"AKAP2","AKAP2","","protein_coding"
568,"AKAP3","AKAP3","","protein_coding"
569,"AKAP4","AKAP4","","protein_coding"
570,"AKAP5","AKAP5","","protein_coding"
571,"AKAP6","AKAP6","","protein_coding"
572,"AKAP7","AKAP7","","protein_coding"
573,"AKAP8","AKAP8","","protein_coding"
574,"AKAP8L","AKAP8L","","protein_coding"
575,"AKAP9","AKAP9","","protein_coding"
576,"AKIP1","AKIP1","","protein_coding"
577,"AKIRIN1","AKIRIN1","","protein_coding"
578,"AKIRIN2","AKIRIN2","","protein_coding"
579,"AKNA","AKNA","","protein_coding"
580,"AKNAD1","AKNAD1","","protein_coding"
581,"AKR1A1","AKR1A1","","protein_coding"
582,"AKR1B1","AKR1B1","","protein_coding"
583,"AKR1B10","AKR1B10","","protein_coding"
584,"AKR1B15","AKR1B15","","protein_coding"
