"","PS.rep1","PS.rep2","PS.rep3","RS.rep1","RS.rep2","RS.rep3"
"LINC02049",3.35147568479699,1.74015475078999,4.31976387253086,5.13572036595977,5.37498728480062,3.85530305818616
"LINC02050",3.42545339647126,5.03725130159211,4.34012113282939,3.3529237420089,4.49947663743414,3.95135932514484
"LINC02052",1.71911333059101,0.886329287852276,2.47954876766446,3.96074336788096,2.85860171792336,3.19374809246444
"LINC02053",3.04675820120783,1.52625414600058,2.23013229128788,5.09010394876946,4.59146998598202,4.22677823924598
"LINC02054",1.56581648782195,1.25022185117226,1.71462917406571,3.55154308713175,2.74254954523814,2.08518124041983
"LINC02055",2.5817874849714,3.52304751220134,4.12089102533812,2.74190269540132,2.93760992907058,3.80891013315641
"LINC02056",2.3216857017589,2.62489164450532,3.25970033522576,3.43887566781508,4.13195159418502,3.93292101234081
"LINC02057",4.41798074874589,5.74578590378817,5.67165003870235,5.02602097071437,5.67798455179182,5.69799616602105
"LINC02059",2.29651907851285,2.32257139343068,2.25472403693912,4.12543620211508,3.95491282609382,3.3073075669011
"LINC02060",1.05062706803172,0.371670370962682,0.185006379277941,1.55261315597751,0.470318199206008,1.48297215854073
"LINC02064",4.56806251539176,3.4828998991412,4.81799667279127,6.12743518442737,5.8560469855114,4.97791182292139
"LINC02065",0.364546659649389,1.77940261680993,1.02299269756095,0.436579765808456,1.0656136687182,2.02408914165773
"LINC02067",0,0.598953979178679,0.262767482560065,0.31414776220292,1.40346406822711,1.19212471220919
"LINC02068",0,0,0,0,0,0
"LINC02069",0.58144862881049,1.67613649445342,1.78268952758957,0.786140481872759,1.6276021692061,2.0417756575608
"LINC02070",0,0,0,0.0492360983196952,0.188366740112121,0.0838025143880734
"LINC02071",1.87545374908774,2.47565821434287,2.78091477023,2.89082993364483,2.63042644073459,2.66309864565279
"LINC02072",0.431337333979679,0.950042074903449,0.844198423953736,1.01713088056233,1.06655077902063,1.18136338934099
