Geneid	Length	genome_mapping/High_6556c4.rep7.RNAseq.mm10.sorted.bam
Ntn5	2216	17
Cntn5	4270	6
Gpr101	5410	0
Pgr15l	5379	0
Gm614	777	5
Cdhr2	4127	3299
Mroh5	2350	0
Mucl3	2608	2472
Nlrc4	3838	629
Acvr1c	9049	6
Lrrc36	2498	0
Gm648	1040	0
Cdk15	1605	0
Srarp	905	2
Washc4	5858	1924
Dcp1b	3311	240
Itpripl2	6864	8973
Cacna2d4	5949	24
Zfp865	3958	1520
Tbc1d32	7239	498
Fubp3	3821	3349
Ipcef1	8804	38
Tmem104	4566	955
Tmem88b	3471	44
Krt26	2600	6
Gfod1	6654	1370
Nutm2	2548	0
Ftdc1	702	0
Treml2	4509	178
Gm815	618	0
Rbm44	3851	4
Lgr6	3623	533
Rnf224	2021	0
Gm826	1097	6
Gm829	1090	0
Shisa3	3754	12
Bsph1	823	0
Ceacam16	1635	64
Dock1	6815	3422
Pate2	2215	6
Thoc2	7619	2869
Gm773	951	0
Fnd3c2	3658	0
Zscan10	2735	9
Grxcr2	1998	0
Lyg2	2564	0
Tmem211	1827	0
Trim75	2504	4
Kdm7a	9553	1775
Nlrp12	4329	524
Heca	3667	1104
Tmem102	1941	0
Gm884	4576	0
Milr1	2474	131
Atxn7l1	6485	1286
Lsmem1	1213	116
Gm906	3152	0
Lrch1	4707	1097
Alg10b	3727	2320
Gm1604b	781	0
Cdkl4	3341	24
Capn13	2614	47
Garem1	4783	1022
Arl14epl	2247	0
Gm960	2262	19
Ap5b1	3142	316
Tmem237	2135	710
Ifi211	1789	278
Zfp408	3742	990
Accsl	2687	0
Pdp1	4398	824
Ccdc27	2084	7
Nom1	3693	2314
Gm1673	552	58
Drc1	2466	58
Lrrc43	2046	0
Tatdn2	3292	3980
Cracr2a	8781	109
Spef1l	1228	20
Zbtb2	3351	775
Adgrg5	2820	79
Foxr1	1666	0
Cpxcr1	1596	0
Bclaf3	4215	448
Odf3l2	1248	0
Atxn7l3b	3599	4206
Tmed8	7179	844
Gm1322	1966	0
Fam47e	2445	10
Gm1527	2119	0
Myrf	5597	14901
Iqgap3	5676	2076
