Geneid	Length	genome_mapping/135-P_R1.rn6.sorted.bam
Olr1417	930	0
Olr1615	936	0
Olr801	942	0
Olr1171	939	0
Olr1681	939	0
Olr1664	951	0
Olr53	945	0
Olr1560	954	0
Olr283	945	0
Olr1405	924	0
Olr1238	930	0
Olr402	939	0
Olr1629	935	0
Olr1174	996	0
Olr1143	939	0
Olr205	951	0
Olr349	924	0
Olr1249	933	0
Olr51	951	0
Olr61	963	0
Olr94	972	0
Olr95	945	0
Olr96	957	0
Olr127	948	0
Olr129	936	0
Olr174	957	0
Olr175	966	0
Olr181	939	0
Olr186	942	0
Olr188	939	0
Olr198	966	0
Olr199	951	0
Olr232	948	0
Olr250	948	0
Olr257	945	0
Olr304	933	0
Olr313	936	0
Olr334	942	0
Olr341	921	0
Olr344	936	0
Olr354	954	0
Olr365	945	0
Olr367	936	0
Olr372	951	0
Olr445	945	0
Olr446	945	0
Olr531	945	0
Olr544	939	0
Olr545	966	0
Olr546	939	0
Olr552	939	0
Olr596	927	0
Olr629	951	0
Olr630	939	0
Olr662	933	0
Olr671	936	0
Olr677	933	0
Olr696	921	0
Olr697	924	0
Olr707	924	0
Olr709	945	0
Olr720	930	0
Olr747	939	0
Olr760	939	0
Olr862	942	0
Olr964	945	0
Olr984	936	0
Olr1022	939	0
Olr1064	939	0
Olr1068	948	0
Olr1105	918	1
Olr1137	930	0
Olr1138	942	0
Olr1195	930	0
Olr1203	948	0
Olr1225	984	0
Olr1233	942	0
Olr1254	933	0
Olr1256	933	0
Olr1318	939	0
Olr1343	939	0
Olr1391	930	0
Olr1392	936	0
Olr1394	930	0
Olr1395	930	0
Olr1396	936	0
Olr1397	933	0
Olr1399	936	0
Olr1400	936	0
Olr1462	957	0
Olr1515	972	0
Olr1528	921	0
Olr1529	921	0
Olr1530	918	0
Olr1531	918	0
Olr1532	918	0
Olr1543	921	0
Olr1545	924	0
Olr1546	924	0
Olr1547	924	0
Olr1548	924	0
Olr1585	917	2
Olr1694	945	0
Olr1697	966	0
Olr1699	966	0
Olr1700	966	0
Olr1701	957	0
Olr1707	939	0
Olr1720	915	0
Olr1722	930	0
Olr1734	942	1
Olr1197	933	0
Olr1347	972	0
Olr1652	927	0
Olr444	945	0
Olr468	939	0
Olr471	939	0
Olr637	930	0
Olr70	942	0
Olr80	954	0
Olr81	939	0
Olr130	924	0
Olr132	948	0
Olr141	951	0
Olr373	951	0
Olr377	945	0
Olr380	948	0
Olr382	945	0
Olr67	939	0
Olr69	939	0
Olr75	960	0
Olr82	945	0
Olr137	966	0
Olr72	1008	0
Olr131	924	0
Olr378	963	0
Olr77	951	0
Olr135	939	0
Olr374	957	0
Olr1512	948	0
