"id","UniqueID","Gene.Name","Protein.ID","GeneType"
402,"RP24-421A2.1","RP24-421A2.1","","protein_coding"
403,"Lgsn","Lgsn","","protein_coding"
404,"Pih1d3","Pih1d3","","protein_coding"
405,"Gm26145","Gm26145","","protein_coding"
406,"RP24-142M5.2","RP24-142M5.2","","protein_coding"
407,"RP24-142M5.3","RP24-142M5.3","","protein_coding"
408,"RP24-142M5.1","RP24-142M5.1","","protein_coding"
409,"RP24-342F15.1","RP24-342F15.1","","protein_coding"
410,"RP24-270O22.1","RP24-270O22.1","","protein_coding"
411,"Gm23032","Gm23032","","protein_coding"
412,"AC134327.1","AC134327.1","","protein_coding"
413,"Khdrbs2","Khdrbs2","","protein_coding"
414,"Gm25814","Gm25814","","protein_coding"
415,"RP23-109J14.2","RP23-109J14.2","","protein_coding"
416,"RP23-109J14.3","RP23-109J14.3","","protein_coding"
417,"RP23-109J14.5","RP23-109J14.5","","protein_coding"
418,"RP24-390L20.1","RP24-390L20.1","","protein_coding"
419,"RP24-390L20.5","RP24-390L20.5","","protein_coding"
420,"RP24-390L20.3","RP24-390L20.3","","protein_coding"
421,"Gm24732","Gm24732","","protein_coding"
422,"RP23-28G12.2","RP23-28G12.2","","protein_coding"
423,"Gm23024","Gm23024","","protein_coding"
424,"RP23-144E24.1","RP23-144E24.1","","protein_coding"
425,"RP23-75G11.1","RP23-75G11.1","","protein_coding"
426,"RP23-75G11.4","RP23-75G11.4","","protein_coding"
427,"RP23-75G11.2","RP23-75G11.2","","protein_coding"
428,"RP23-75G11.3","RP23-75G11.3","","protein_coding"
429,"Gm24901","Gm24901","","protein_coding"
430,"RP23-154N2.3","RP23-154N2.3","","protein_coding"
431,"RP23-154N2.2","RP23-154N2.2","","protein_coding"
432,"Gm25792","Gm25792","","protein_coding"
433,"RP23-443F6.1","RP23-443F6.1","","protein_coding"
434,"RP23-125B4.2","RP23-125B4.2","","protein_coding"
435,"Gm23453","Gm23453","","protein_coding"
436,"Prim2","Prim2","","protein_coding"
437,"RP23-125B4.3","RP23-125B4.3","","protein_coding"
438,"RP24-423J19.3","RP24-423J19.3","","protein_coding"
439,"RP24-423J19.6","RP24-423J19.6","","protein_coding"
440,"RP24-423J19.1","RP24-423J19.1","","protein_coding"
441,"RP24-423J19.7","RP24-423J19.7","","protein_coding"
442,"Rab23","Rab23","","protein_coding"
443,"Bag2","Bag2","","protein_coding"
444,"RP23-32P22.1","RP23-32P22.1","","protein_coding"
445,"Zfp451","Zfp451","","protein_coding"
446,"AC163668.5","AC163668.5","","protein_coding"
447,"Bend6","Bend6","","protein_coding"
448,"RP23-32P22.2","RP23-32P22.2","","protein_coding"
449,"Dst","Dst","","protein_coding"
450,"RP23-87D8.2","RP23-87D8.2","","protein_coding"
451,"RP23-87D8.1","RP23-87D8.1","","protein_coding"
452,"Gm23792","Gm23792","","protein_coding"
453,"RP23-87D8.4","RP23-87D8.4","","protein_coding"
454,"Mir6896","Mir6896","","protein_coding"
455,"RP23-151I7.1","RP23-151I7.1","","protein_coding"
456,"RP24-422C24.3","RP24-422C24.3","","protein_coding"
457,"RP24-152H15.5","RP24-152H15.5","","protein_coding"
458,"RP24-152H15.4","RP24-152H15.4","","protein_coding"
459,"RP24-152H15.2","RP24-152H15.2","","protein_coding"
460,"RP24-152H15.3","RP24-152H15.3","","protein_coding"
461,"RP24-554B1.11","RP24-554B1.11","","protein_coding"
462,"Mir5103","Mir5103","","protein_coding"
463,"Ccdc115","Ccdc115","","protein_coding"
464,"RP24-554B1.1","RP24-554B1.1","","protein_coding"
465,"Imp4","Imp4","","protein_coding"
466,"Ptpn18","Ptpn18","","protein_coding"
467,"RP24-554B1.10","RP24-554B1.10","","protein_coding"
468,"RP24-554B1.5","RP24-554B1.5","","protein_coding"
469,"Prss39","Prss39","","protein_coding"
470,"RP24-554B1.9","RP24-554B1.9","","protein_coding"
471,"Cfc1","Cfc1","","protein_coding"
472,"RP24-554B1.8","RP24-554B1.8","","protein_coding"
473,"Prss40","Prss40","","protein_coding"
474,"RP24-70I14.1","RP24-70I14.1","","protein_coding"
475,"Amer3","Amer3","","protein_coding"
476,"RP24-70I14.3","RP24-70I14.3","","protein_coding"
477,"RP24-70I14.5","RP24-70I14.5","","protein_coding"
478,"RP24-70I14.6","RP24-70I14.6","","protein_coding"
479,"RP24-70I14.4","RP24-70I14.4","","protein_coding"
480,"Arhgef4","Arhgef4","","protein_coding"
481,"RP23-166L24.2","RP23-166L24.2","","protein_coding"
482,"RP23-348C6.5","RP23-348C6.5","","protein_coding"
483,"RP23-348C6.3","RP23-348C6.3","","protein_coding"
484,"Fam168b","Fam168b","","protein_coding"
485,"RP23-348C6.1","RP23-348C6.1","","protein_coding"
486,"Plekhb2","Plekhb2","","protein_coding"
487,"RP23-348C6.4","RP23-348C6.4","","protein_coding"
488,"RP23-348C6.6","RP23-348C6.6","","protein_coding"
489,"RP23-348C6.7","RP23-348C6.7","","protein_coding"
490,"RP23-309D5.1","RP23-309D5.1","","protein_coding"
491,"Gm25096","Gm25096","","protein_coding"
492,"RP24-550I15.1","RP24-550I15.1","","protein_coding"
493,"Gm25634","Gm25634","","protein_coding"
494,"RP23-463E4.1","RP23-463E4.1","","protein_coding"
495,"RP24-72B22.1","RP24-72B22.1","","protein_coding"
496,"RP24-72B22.2","RP24-72B22.2","","protein_coding"
